date,product,sales,units,region,customer_type
2024-01-01,Widget A,1500.50,10,North,Enterprise
2024-01-02,Widget B,2300.75,15,South,SMB
2024-01-03,Widget A,1800.00,12,East,Startup
2024-01-04,Widget C,950.25,5,West,Enterprise
2024-01-05,Widget B,2150.00,14,North,SMB
2024-01-06,Widget A,1650.75,11,South,Startup
2024-01-07,Widget C,1100.50,7,East,Enterprise
2024-01-08,Widget B,2400.00,16,West,SMB
2024-01-09,Widget A,1900.25,13,North,Startup
2024-01-10,Widget C,875.00,4,South,Enterprise
2024-01-11,Widget B,2250.50,15,East,SMB
2024-01-12,Widget A,1750.00,12,West,Startup
2024-01-13,Widget C,1025.75,6,North,Enterprise
2024-01-14,Widget B,2380.00,16,South,SMB
2024-01-15,Widget A,1820.50,12,East,Startup
